[2026-04-03 15:49:00,401: INFO: main: Running]
[2026-04-03 15:49:41,440: INFO: main: Welcome to the project]
[2026-04-04 11:36:21,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-04 11:36:21,116: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-04 11:36:21,127: INFO: common: created directory at : artifacts]
[2026-04-04 11:36:21,130: INFO: common: created directory at : artifacts/prepare_base_model]
[2026-04-04 11:36:21,135: INFO: 1109691473: Downloading base model]
[2026-04-04 11:36:24,378: INFO: 1109691473: Saving base model]
[2026-04-04 11:36:24,384: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2026-04-06 06:27:04,011: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:27:04,064: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:27:04,072: INFO: common: created directory at : artifacts]
[2026-04-06 06:27:32,341: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:27:32,415: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:27:32,420: INFO: common: created directory at : artifacts]
[2026-04-06 06:28:29,085: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:28:29,096: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:28:29,100: INFO: common: created directory at : artifacts]
[2026-04-06 06:28:29,110: INFO: common: created directory at : artifacts/data_ingestion]
[2026-04-06 06:28:29,115: INFO: 2222662554: downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-04-06 06:28:50,559: INFO: 2222662554: file downloaded successfully and saved at artifacts/data_ingestion/data.zip with size ~ 56361 KB]
[2026-04-06 06:28:50,565: INFO: 2222662554: extraction of file: artifacts/data_ingestion/data.zip started]
[2026-04-06 06:28:54,039: INFO: 2222662554: extraction completed successfully at location: artifacts/data_ingestion]
[2026-04-06 06:31:19,961: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:31:19,977: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:31:19,985: INFO: common: created directory at : artifacts]
[2026-04-06 06:34:51,113: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:34:51,166: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:34:51,193: INFO: common: created directory at : artifacts]
[2026-04-06 06:36:13,507: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:36:13,558: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:36:13,581: INFO: common: created directory at : artifacts]
[2026-04-06 06:36:13,673: INFO: common: created directory at : artifacts\training]
[2026-04-06 06:39:20,414: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:39:20,434: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:39:20,449: INFO: common: created directory at : artifacts]
[2026-04-06 06:39:20,453: INFO: common: created directory at : artifacts\training]
[2026-04-06 06:49:40,183: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-04-06 06:49:40,223: INFO: common: yaml file: params.yaml loaded successfully]
[2026-04-06 06:49:40,240: INFO: common: created directory at : artifacts]
[2026-04-06 06:49:40,262: INFO: common: created directory at : artifacts\training]
